,b_goal_setting,a_goal_setting,b_environment_structuring,a_environment_structuring,b_task_strategies,a_task_strategies,b_time_management,a_time_management,b_help_seeking,a_help_seeking,b_self_evaluation,a_self_evaluation,b_rehearsal,a_rehearsal,b_elaboration,a_elaboration,b_organization,a_organization,b_critical_thinking,a_critical_thinking,b_metacognitive_selfregulation,a_metacognitive_selfregulation,b_math_self_efficacy,a_math_self_efficacy,b_internet_self_efficacy,a_internet_self_efficacy
107202016.0,33.0,31.0,28.0,28.0,24.0,10.0,20.0,3.0,28.0,4.0,25.0,16.0,24.0,28.0,38.0,42.0,25.0,28.0,32.0,35.0,62.0,72.0,32.0,35.0,24.0,28.0
107202503.0,30.0,30.0,23.0,23.0,18.0,23.0,17.0,19.0,21.0,23.0,20.0,24.0,22.0,23.0,34.0,37.0,24.0,24.0,28.0,30.0,62.0,64.0,29.0,31.0,23.0,25.0
107203002.0,28.0,28.0,20.0,24.0,15.0,16.0,12.0,13.0,21.0,19.0,17.0,22.0,21.0,22.0,32.0,33.0,24.0,17.0,25.0,24.0,56.0,57.0,26.0,23.0,23.0,23.0
107203016.0,30.0,29.0,24.0,22.0,20.0,20.0,18.0,17.0,25.0,22.0,25.0,22.0,24.0,24.0,34.0,30.0,25.0,22.0,33.0,27.0,66.0,60.0,26.0,27.0,23.0,22.0
107203504.0,30.0,30.0,23.0,24.0,21.0,20.0,15.0,17.0,22.0,19.0,19.0,21.0,24.0,21.0,35.0,30.0,24.0,21.0,28.0,28.0,64.0,61.0,26.0,25.0,24.0,20.0
107203505.0,24.0,26.0,24.0,22.0,18.0,18.0,13.0,13.0,17.0,17.0,20.0,16.0,20.0,17.0,30.0,25.0,22.0,20.0,25.0,22.0,60.0,55.0,21.0,20.0,20.0,18.0
107203507.0,28.0,23.0,20.0,23.0,15.0,17.0,14.0,11.0,22.0,16.0,21.0,18.0,18.0,18.0,32.0,31.0,23.0,17.0,28.0,23.0,58.0,50.0,23.0,22.0,23.0,22.0
107206002.0,23.0,22.0,26.0,17.0,19.0,17.0,14.0,13.0,26.0,18.0,22.0,18.0,21.0,17.0,35.0,26.0,24.0,17.0,27.0,21.0,53.0,46.0,26.0,20.0,16.0,17.0
107206003.0,22.0,20.0,22.0,16.0,13.0,17.0,12.0,17.0,20.0,17.0,14.0,22.0,20.0,16.0,30.0,29.0,19.0,17.0,24.0,22.0,54.0,48.0,25.0,20.0,24.0,16.0
107206502.0,25.0,25.0,20.0,19.0,19.0,18.0,15.0,14.0,20.0,18.0,19.0,18.0,20.0,19.0,30.0,27.0,19.0,18.0,24.0,21.0,58.0,57.0,16.0,20.0,20.0,18.0
107206515.0,25.0,22.0,22.0,27.0,12.0,10.0,11.0,11.0,20.0,16.0,10.0,17.0,17.0,17.0,32.0,25.0,16.0,20.0,24.0,23.0,54.0,50.0,21.0,20.0,17.0,21.0
107206516.0,35.0,32.0,28.0,28.0,25.0,27.0,18.0,19.0,27.0,27.0,28.0,25.0,27.0,27.0,42.0,37.0,28.0,26.0,30.0,32.0,75.0,67.0,34.0,31.0,22.0,26.0
107206522.0,28.0,30.0,27.0,24.0,17.0,21.0,14.0,16.0,20.0,24.0,18.0,24.0,19.0,24.0,29.0,36.0,19.0,24.0,25.0,30.0,62.0,64.0,27.0,30.0,20.0,24.0
107206525.0,31.0,29.0,25.0,26.0,19.0,21.0,14.0,14.0,26.0,25.0,24.0,25.0,24.0,23.0,38.0,38.0,25.0,24.0,30.0,30.0,68.0,71.0,30.0,31.0,27.0,25.0
107206526.0,30.0,26.0,24.0,25.0,19.0,18.0,16.0,14.0,24.0,23.0,22.0,22.0,18.0,21.0,23.0,30.0,22.0,21.0,32.0,29.0,67.0,51.0,30.0,28.0,28.0,28.0
107208001.0,30.0,25.0,23.0,23.0,20.0,21.0,13.0,14.0,23.0,22.0,17.0,17.0,21.0,20.0,31.0,33.0,24.0,23.0,21.0,25.0,53.0,56.0,20.0,22.0,19.0,20.0
107208003.0,28.0,23.0,24.0,22.0,19.0,16.0,13.0,14.0,24.0,20.0,20.0,17.0,24.0,20.0,33.0,26.0,24.0,20.0,23.0,20.0,58.0,56.0,21.0,20.0,24.0,16.0
107208502.0,29.0,26.0,26.0,21.0,18.0,20.0,15.0,14.0,22.0,23.0,23.0,20.0,25.0,20.0,32.0,33.0,23.0,23.0,28.0,29.0,70.0,57.0,28.0,22.0,24.0,24.0
107208503.0,26.0,22.0,22.0,20.0,19.0,15.0,14.0,10.0,23.0,13.0,23.0,15.0,24.0,19.0,36.0,29.0,24.0,18.0,24.0,23.0,57.0,51.0,30.0,21.0,24.0,20.0
107208504.0,30.0,22.0,24.0,23.0,20.0,17.0,17.0,12.0,22.0,18.0,22.0,20.0,24.0,17.0,36.0,30.0,24.0,21.0,27.0,22.0,56.0,54.0,22.0,20.0,21.0,22.0
107208507.0,30.0,28.0,17.0,23.0,17.0,16.0,19.0,13.0,22.0,19.0,21.0,22.0,20.0,24.0,30.0,33.0,17.0,19.0,23.0,25.0,59.0,54.0,21.0,19.0,18.0,20.0
107208510.0,30.0,25.0,28.0,26.0,15.0,13.0,14.0,11.0,23.0,21.0,28.0,22.0,28.0,15.0,37.0,30.0,28.0,19.0,35.0,25.0,61.0,59.0,31.0,26.0,28.0,28.0
107208512.0,23.0,27.0,19.0,23.0,19.0,17.0,14.0,14.0,21.0,23.0,22.0,23.0,24.0,22.0,37.0,35.0,28.0,23.0,28.0,29.0,56.0,63.0,21.0,25.0,20.0,20.0
107303004.0,25.0,25.0,18.0,19.0,14.0,16.0,12.0,12.0,21.0,18.0,16.0,16.0,16.0,17.0,25.0,24.0,16.0,17.0,26.0,23.0,48.0,52.0,19.0,23.0,19.0,16.0
107303006.0,31.0,29.0,24.0,26.0,21.0,19.0,19.0,18.0,26.0,24.0,21.0,21.0,22.0,23.0,38.0,37.0,20.0,22.0,29.0,34.0,62.0,62.0,35.0,26.0,25.0,28.0
107303007.0,28.0,17.0,19.0,17.0,15.0,17.0,7.0,5.0,21.0,18.0,20.0,24.0,17.0,16.0,33.0,30.0,15.0,10.0,34.0,33.0,56.0,59.0,34.0,31.0,18.0,21.0
107303010.0,28.0,25.0,24.0,22.0,19.0,18.0,17.0,14.0,22.0,19.0,22.0,20.0,23.0,19.0,28.0,28.0,20.0,19.0,26.0,24.0,56.0,56.0,25.0,25.0,20.0,20.0
107303015.0,28.0,29.0,26.0,21.0,22.0,20.0,14.0,14.0,24.0,21.0,21.0,21.0,22.0,21.0,29.0,29.0,21.0,19.0,24.0,26.0,64.0,58.0,35.0,26.0,20.0,21.0
107303513.0,30.0,21.0,24.0,18.0,18.0,19.0,18.0,14.0,20.0,19.0,22.0,18.0,22.0,19.0,26.0,28.0,22.0,16.0,22.0,23.0,55.0,49.0,23.0,23.0,23.0,17.0
107303516.0,34.0,35.0,26.0,26.0,22.0,26.0,20.0,20.0,28.0,25.0,27.0,28.0,28.0,28.0,39.0,40.0,21.0,27.0,29.0,34.0,69.0,81.0,31.0,35.0,27.0,28.0
107304001.0,35.0,31.0,25.0,24.0,21.0,21.0,17.0,17.0,24.0,24.0,23.0,24.0,24.0,24.0,36.0,36.0,23.0,23.0,28.0,30.0,67.0,65.0,24.0,24.0,24.0,24.0
107305001.0,27.0,21.0,20.0,20.0,21.0,17.0,16.0,14.0,24.0,18.0,18.0,18.0,23.0,20.0,32.0,29.0,22.0,15.0,29.0,21.0,60.0,52.0,23.0,26.0,23.0,19.0
107305005.0,30.0,31.0,25.0,27.0,19.0,28.0,18.0,20.0,28.0,27.0,22.0,26.0,25.0,24.0,34.0,38.0,23.0,21.0,28.0,33.0,65.0,69.0,28.0,33.0,24.0,28.0
107801001.0,29.0,28.0,22.0,22.0,18.0,18.0,14.0,13.0,21.0,21.0,22.0,23.0,22.0,21.0,34.0,28.0,24.0,19.0,24.0,23.0,63.0,60.0,30.0,26.0,23.0,22.0
107801002.0,28.0,24.0,21.0,20.0,17.0,19.0,15.0,15.0,23.0,23.0,23.0,23.0,23.0,21.0,35.0,32.0,23.0,21.0,29.0,24.0,56.0,60.0,21.0,23.0,20.0,20.0
107801004.0,33.0,28.0,25.0,21.0,18.0,16.0,13.0,12.0,24.0,21.0,17.0,16.0,24.0,19.0,33.0,30.0,25.0,21.0,21.0,18.0,63.0,57.0,21.0,22.0,25.0,23.0
107801008.0,30.0,25.0,23.0,25.0,18.0,14.0,16.0,12.0,24.0,21.0,21.0,19.0,21.0,21.0,37.0,26.0,23.0,17.0,24.0,21.0,59.0,53.0,21.0,20.0,21.0,20.0
107801012.0,31.0,23.0,22.0,24.0,21.0,12.0,14.0,7.0,27.0,16.0,20.0,15.0,23.0,12.0,31.0,20.0,21.0,12.0,29.0,19.0,59.0,48.0,21.0,13.0,25.0,18.0
107801013.0,25.0,23.0,18.0,19.0,18.0,17.0,14.0,15.0,18.0,16.0,18.0,16.0,19.0,18.0,26.0,27.0,20.0,16.0,25.0,22.0,50.0,48.0,21.0,23.0,17.0,18.0
107801014.0,29.0,27.0,20.0,12.0,16.0,12.0,16.0,12.0,28.0,21.0,19.0,16.0,25.0,17.0,34.0,28.0,26.0,18.0,18.0,24.0,51.0,54.0,26.0,21.0,23.0,21.0
107801017.0,28.0,28.0,24.0,25.0,21.0,16.0,17.0,15.0,23.0,24.0,24.0,25.0,20.0,23.0,33.0,38.0,25.0,26.0,31.0,29.0,60.0,59.0,20.0,29.0,23.0,25.0
107801018.0,24.0,22.0,19.0,19.0,16.0,16.0,12.0,13.0,20.0,17.0,14.0,18.0,16.0,18.0,28.0,25.0,18.0,17.0,22.0,23.0,55.0,49.0,22.0,20.0,20.0,18.0
107801020.0,30.0,26.0,22.0,22.0,16.0,18.0,17.0,14.0,18.0,19.0,22.0,20.0,22.0,18.0,34.0,30.0,21.0,22.0,29.0,28.0,62.0,63.0,25.0,21.0,19.0,20.0
107801504.0,27.0,35.0,24.0,28.0,19.0,23.0,14.0,18.0,27.0,28.0,22.0,28.0,22.0,28.0,36.0,42.0,28.0,28.0,28.0,35.0,70.0,81.0,26.0,35.0,23.0,28.0
107801505.0,30.0,25.0,26.0,22.0,18.0,17.0,19.0,13.0,22.0,21.0,24.0,23.0,24.0,27.0,33.0,34.0,22.0,25.0,24.0,27.0,57.0,62.0,26.0,28.0,23.0,26.0
107801506.0,33.0,27.0,27.0,24.0,21.0,17.0,19.0,14.0,28.0,20.0,28.0,19.0,28.0,19.0,41.0,28.0,28.0,19.0,27.0,25.0,71.0,60.0,30.0,21.0,24.0,18.0
107802511.0,35.0,35.0,28.0,28.0,28.0,28.0,21.0,21.0,28.0,28.0,28.0,28.0,28.0,28.0,42.0,42.0,28.0,28.0,35.0,35.0,72.0,72.0,35.0,35.0,28.0,28.0
